Item,Recipes
Medu Vada with Coconut Chutney and Sambar,Savory fritters made from urad dal (black
Medu Vada with Coconut Chutney and Sambar,"Savory fritters made from urad dal (black lentils), served with coconut chutney and sambar."
"Upma with Vegetables, Peanuts, and Curry Leaves","Savory porridge made with semolina, vegetables, peanuts, and curry leaves."
"Poha with Onions, Potatoes, Peas, and Turmeric","Flattened rice dish cooked with onions, potatoes, peas, and turmeric."
Sambhar with Vegetables and Toor Dal,Lentil and vegetable stew made with toor dal (pigeon peas) and vegetables.
Rasam with Garlic and Pepper,Tamarind-based lentil soup flavored with garlic and pepper.
Bisi Bele Bath with Carrot and Coriander,Spiced lentil and rice dish with carrot and coriander.
Mysore Masala Dosa with Onion Chutney,"Dosa filled with a spicy potato filling, served with onion chutney."
"Rava Idli with Sambar, Rasam, and Coconut Chutney","Steamed semolina cakes served with sambar, rasam, and coconut chutney."
Medu Vada with Ginger Chutney and Sambar,"Savory fritters made from urad dal (black lentils), served with ginger chutney and sambar."
"Upma with Vegetables, Peanuts, Curry Leaves, and Mustard Seeds","Savory porridge made with semolina, vegetables, peanuts, curry leaves, and mustard seeds."
"Poha with Onions, Potatoes, Peas, Turmeric, and Chaat Masala","Flattened rice dish cooked with onions, potatoes, peas, turmeric, and chaat masala (tangy spice blend)."
"Sambhar with Vegetables, Toor Dal, and Coconut Milk","Lentil and vegetable stew made with toor dal (pigeon peas) and vegetables, and enriched with coconut milk."
Rasam with Tomatoes and Cumin,Tamarind-based lentil soup flavored with tomatoes and cumin.
Bisi Bele Bath with Coconut and Cilantro,Spiced lentil and rice dish garnished with coconut and cilantro.
"Mysore Masala Dosa with Sambar, Rasam, and Coconut Chutney","Dosa filled with a spicy potato filling, served with sambar, rasam, and coconut chutney."
"Rava Idli with Sambar, Rasam, Coconut Chutney, and Onion Chutney","Steamed semolina cakes served with sambar, rasam, coconut chutney, and onion chutney."
"Medu Vada with Ginger Chutney, Sambar, and Coconut Chutney","Savory fritters made from urad dal (black lentils), served with ginger chutney, sambar, and coconut chutney."
"Upma with Vegetables, Peanuts, Curry Leaves, Mustard Seeds, and Turmeric","Savory porridge made with semolina, vegetables, peanuts, curry leaves, mustard seeds, and turmeric."
"Poha with Onions, Potatoes, Peas, Turmeric, Chaat Masala, and Lemon Juice","Flattened rice dish cooked with onions, potatoes, peas, turmeric, chaat masala, and lemon juice."
"Sambhar with Vegetables, Toor Dal, Coconut Milk, and Curry Leaves","Lentil and vegetable stew made with toor dal (pigeon peas), vegetables, coconut milk, and flavored with curry leaves."
"Rasam with Tomatoes, Cumin, and Garlic","Tamarind-based lentil soup flavored with tomatoes, cumin, and garlic."
"Bisi Bele Bath with Coconut, Cilantro, and Ghee","Spiced lentil and rice dish garnished with coconut, cilantro, and drizzled with ghee (clarified butter)."
"Mysore Masala Dosa with Sambar, Rasam, Coconut Chutney, and Onion Chutney","Dosa filled with a spicy potato filling, served with sambar, rasam, coconut chutney, and onion chutney."
"Rava Idli with Sambar, Rasam, Coconut Chutney, Onion Chutney, and Ginger Chutney","Steamed semolina cakes served with sambar, rasam, coconut chutney, onion chutney, and ginger chutney."
"Medu Vada with Ginger Chutney, Sambar, Coconut Chutney, and Onion Chutney","Savory fritters made from urad dal (black lentils), served with ginger chutney, sambar, coconut chutney, and onion chutney."
